COHORT_MONTH,COHORT_SIZE,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
2025-01-01,6823,6823,5289,5471,5138,4897,4834,4602,4189,4307,3955,3810,3648,3453
2025-02-01,5454,5454,4217,4097,3929,3931,3731,3398,3554,3316,3205,3042,2903,2759
2025-03-01,6232,6232,4543,4588,4663,4421,3996,4231,3908,3841,3625,3493,3353,3372
2025-04-01,6281,6281,4545,4829,4679,4217,4506,4196,4096,3940,3715,3570,3586,3255
2025-05-01,6364,6364,4784,4892,4432,4735,4457,4288,4120,3926,3730,3847,3560,3378
2025-06-01,7516,7516,5757,5510,5978,5539,5373,5114,4737,4533,4667,4302,4138,
2025-07-01,7864,7864,5405,6339,5916,5810,5575,5281,5039,5160,4796,4601,,
2025-08-01,6834,6834,5469,5364,5197,4966,4777,4517,4674,4324,4182,,,
2025-09-01,7813,7813,6003,6117,5836,5538,5425,5607,5095,4953,,,,
2025-10-01,7006,7006,5215,5329,5089,4893,5053,4660,4565,,,,,
2025-11-01,6449,6449,4871,4837,4754,4804,4388,4218,,,,,,
2025-12-01,6148,6148,4427,4626,4763,4359,4254,,,,,,,
2026-01-01,8087,8087,6102,6534,6000,5810,,,,,,,,
2026-02-01,7318,7318,5630,5469,5395,,,,,,,,,
2026-03-01,8887,8887,6390,6744,,,,,,,,,,
2026-04-01,8494,8494,6219,,,,,,,,,,,
2026-05-01,8422,8422,,,,,,,,,,,,
