COHORT_MONTH,COHORT_SIZE,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
2025-01-01,6823,6823,5459,5624,5308,5081,5004,4768,4358,4479,4125,3969,3800,3606
2025-02-01,5454,5454,4337,4233,4094,4097,3895,3557,3695,3454,3345,3174,3038,2881
2025-03-01,6232,6232,4681,4755,4809,4587,4153,4379,4052,3980,3783,3635,3508,3520
2025-04-01,6281,6281,4670,4985,4828,4354,4623,4325,4215,4054,3823,3687,3704,3362
2025-05-01,6364,6364,4901,5028,4580,4875,4584,4435,4263,4064,3854,3957,3676,3495
2025-06-01,7516,7516,5894,5651,6119,5690,5544,5274,4890,4677,4791,4426,4260,
2025-07-01,7864,7864,5561,6488,6073,5971,5746,5458,5198,5317,4941,4741,,
2025-08-01,6834,6834,5602,5525,5359,5138,4932,4683,4814,4453,4309,,,
2025-09-01,7813,7813,6150,6340,6041,5766,5620,5790,5269,5119,,,,
2025-10-01,7006,7006,5367,5506,5263,5059,5206,4815,4706,,,,,
2025-11-01,6449,6449,4992,4991,4915,4965,4549,4385,,,,,,
2025-12-01,6148,6148,4540,4775,4905,4511,4406,,,,,,,
2026-01-01,8087,8087,6241,6709,6200,5986,,,,,,,,
2026-02-01,7318,7318,5750,5626,5563,,,,,,,,,
2026-03-01,8887,8887,6507,6907,,,,,,,,,,
2026-04-01,8494,8494,6375,,,,,,,,,,,
2026-05-01,8422,8422,,,,,,,,,,,,
