COHORT_MONTH,COHORT_SIZE,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
2025-01-01,12095,12095,9024,9075,8504,8157,7827,7464,6859,6882,6420,6106,5837,5577
2025-02-01,10881,10881,7751,7591,7342,7103,6756,6281,6239,5926,5659,5408,5147,4875
2025-03-01,11873,11873,8333,8412,8115,7767,7121,7223,6765,6508,6236,5962,5707,5606
2025-04-01,11690,11690,8320,8368,8099,7364,7485,7066,6837,6586,6252,6006,5914,5399
2025-05-01,12100,12100,8577,8760,8016,8144,7730,7327,7050,6725,6356,6387,5955,5646
2025-06-01,12741,12741,9384,9023,9325,8752,8418,7973,7444,7098,7132,6625,6341,
2025-07-01,13595,13595,9397,10196,9619,9293,8947,8498,8090,8080,7563,7189,,
2025-08-01,12850,12850,9726,9576,9166,8780,8355,7996,7949,7396,7092,,,
2025-09-01,13023,13023,9735,9674,9242,8809,8504,8551,7852,7594,,,,
2025-10-01,13208,13208,9416,9521,9037,8602,8540,7929,7660,,,,,
2025-11-01,12071,12071,8859,8657,8361,8219,7599,7303,,,,,,
2025-12-01,11301,11301,8003,8111,8004,7484,7177,,,,,,,
2026-01-01,14482,14482,10564,10852,10125,9702,,,,,,,,
2026-02-01,13410,13410,9593,9426,9172,,,,,,,,,
2026-03-01,14638,14638,10214,10593,,,,,,,,,,
2026-04-01,14470,14470,10344,,,,,,,,,,,
2026-05-01,14688,14688,,,,,,,,,,,,
