COHORT_MONTH,COHORT_SIZE,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
2025-01-01,5530,5530,3105,2839,2582,2421,2134,2044,1869,1729,1643,1481,1405,1341
2025-02-01,5691,5691,2917,2700,2555,2240,2110,1972,1769,1721,1568,1505,1430,1311
2025-03-01,5937,5937,3232,3064,2624,2479,2295,2114,2027,1821,1740,1673,1541,1442
2025-04-01,5700,5700,3159,2745,2579,2331,2084,1970,1832,1739,1673,1561,1443,1322
2025-05-01,6050,6050,3126,3007,2669,2362,2265,2021,1948,1812,1696,1552,1473,1387
2025-06-01,5515,5515,2983,2717,2387,2235,2034,1885,1764,1648,1503,1419,1343,
2025-07-01,6126,6126,3318,2952,2724,2453,2324,2154,2016,1845,1746,1594,,
2025-08-01,6315,6315,3469,3242,2934,2745,2537,2397,2171,2060,1918,,,
2025-09-01,5511,5511,3123,2740,2548,2360,2171,1987,1862,1732,,,,
2025-10-01,6541,6541,3562,3372,3064,2757,2519,2346,2178,,,,,
2025-11-01,5952,5952,3412,3045,2773,2506,2321,2177,,,,,,
2025-12-01,5425,5425,3081,2774,2450,2331,2151,,,,,,,
2026-01-01,6721,6721,3806,3406,3120,2873,,,,,,,,
2026-02-01,6358,6358,3343,3196,2896,,,,,,,,,
2026-03-01,6050,6050,3238,3039,,,,,,,,,,
2026-04-01,6279,6279,3479,,,,,,,,,,,
2026-05-01,6613,6613,,,,,,,,,,,,
